prov_name,yr,age,pop_prop
Neimenggu,2002,50_,0.193451056
Neimenggu,2003,0,0.009455963
Neimenggu,2003,1_14,0.177826885
Neimenggu,2003,15_49,0.60638724
Neimenggu,2003,50_,0.206329913
Neimenggu,2004,0,0.009351499
Neimenggu,2004,1_14,0.169580457
Neimenggu,2004,15_49,0.601859274
Neimenggu,2004,50_,0.21920877
Neimenggu,2005,0,0.009247036
Neimenggu,2005,1_14,0.16133403
Neimenggu,2005,15_49,0.597331307
Neimenggu,2005,50_,0.232087627
Neimenggu,2006,0,0.009050253
Neimenggu,2006,1_14,0.155556671
Neimenggu,2006,15_49,0.599818786
Neimenggu,2006,50_,0.23557429
Neimenggu,2007,0,0.008853469
Neimenggu,2007,1_14,0.149779313
Neimenggu,2007,15_49,0.602306265
Neimenggu,2007,50_,0.239060953
Neimenggu,2008,0,0.008656685
Neimenggu,2008,1_14,0.144001955
Neimenggu,2008,15_49,0.604793744
Neimenggu,2008,50_,0.242547616
Neimenggu,2009,0,0.008459902
Neimenggu,2009,1_14,0.138224596
Neimenggu,2009,15_49,0.607281223
Neimenggu,2009,50_,0.246034279
Neimenggu,2010,0,0.008263118
Neimenggu,2010,1_14,0.132447238
Neimenggu,2010,15_49,0.609768702
Neimenggu,2010,50_,0.249520942
Neimenggu,2011,0,0.007977921
Neimenggu,2011,1_14,0.130730356
Neimenggu,2011,15_49,0.599975732
Neimenggu,2011,50_,0.261315991
Neimenggu,2012,0,0.007692724
Neimenggu,2012,1_14,0.129013473
Neimenggu,2012,15_49,0.590182761
Neimenggu,2012,50_,0.273111041
Neimenggu,2013,0,0.007407527
Neimenggu,2013,1_14,0.127296591
Neimenggu,2013,15_49,0.580389791
Neimenggu,2013,50_,0.28490609
Neimenggu,2014,0,0.007122331
Neimenggu,2014,1_14,0.125579709
Neimenggu,2014,15_49,0.570596821
Neimenggu,2014,50_,0.29670114
Liaoning,1990,0,0.012067865
Liaoning,1990,1_14,0.220132111
Liaoning,1990,15_49,0.595977506
Liaoning,1990,50_,0.171822518
Liaoning,1991,0,0.012067865
Liaoning,1991,1_14,0.216446295
Liaoning,1991,15_49,0.594570061
Liaoning,1991,50_,0.17691578
Liaoning,1992,0,0.012067865
Liaoning,1992,1_14,0.212760478
Liaoning,1992,15_49,0.593162616
Liaoning,1992,50_,0.182009041
Liaoning,1993,0,0.012067865
Liaoning,1993,1_14,0.209074662
Liaoning,1993,15_49,0.591755172
Liaoning,1993,50_,0.187102302
Liaoning,1994,0,0.012067865
Liaoning,1994,1_14,0.205388845
Liaoning,1994,15_49,0.590347727
Liaoning,1994,50_,0.192195563
Liaoning,1995,0,0.012067865
Liaoning,1995,1_14,0.201703028
Liaoning,1995,15_49,0.588940282
